dx,gb,dz,gb_energy,variance,acquisition
0.3,1.0,3.2,1.1553364066416585,0.008000302445263074,1.1620559140882303
0.3,1.0,3.3,1.1443192935765159,0.009902562009110936,1.1504360349879184
0.3,1.0,3.4,1.1245477902740566,0.011218172376059378,1.150592770446176
0.3,1.0,3.5,1.0964611133184055,0.011662642022818727,1.1594022594785283
0.3,1.0,3.6,1.0723025525025798,0.013225214705946314,1.1656604587499855
0.4,1.0,0.0,1.0531168865039173,0.012041067817386324,1.1663612161839274
0.4,1.0,0.1,1.0290243053300736,0.012591498237206417,1.2011707076168443
0.4,1.0,0.2,1.023127728635489,0.014239627710840209,1.197475372890228
0.4,1.0,0.3,1.0307472136278408,0.015188133892313039,1.1709262528268143
0.4,1.0,0.4,1.0522938187042497,0.015591652555610413,1.1351593590218747
0.4,1.0,0.5,1.0816713216382734,0.01622840312739511,1.1013079859888721
0.4,1.0,0.6,1.104931227642423,0.016293029720595813,1.0842668554635801
0.4,1.0,0.7,1.1172061642799835,0.014702824548267213,1.095216741759407
0.4,1.0,0.8,1.1270982342946128,0.01232989845165584,1.1339919325965
0.4,1.0,0.9,1.139719767971197,0.010615501969460261,1.1926868168853986
0.4,1.0,1.0,1.1497717194292074,0.010729940153784572,1.2577737860698792
0.4,1.0,1.1,1.1549173185762038,0.01187480224725213,1.3089424320474277
0.4,1.0,1.2,1.1597928128620747,0.012609446169020478,1.3303575833911057
0.4,1.0,1.3,1.161879049797363,0.012026065353900356,1.3255445882478742
0.4,1.0,1.4,1.1496615870511713,0.010859059248315211,1.3082880551631846
0.4,1.0,1.5,1.1213289640864443,0.010552105851939914,1.2800889351736857
0.4,1.0,1.6,1.0912446973934817,0.011657792808747208,1.2342521066448775
0.4,1.0,1.7,1.0723492389764926,0.013801679809511,1.1819287079925143
0.4,1.0,1.8,1.0649428194396888,0.01585501199150541,1.1511764253115013
0.4,1.0,1.9,1.0657726540920458,0.01578475157396125,1.1527548673647272
0.4,1.0,2.0,1.0733334336547478,0.014031883339742228,1.165584120284739
0.4,1.0,2.1,1.0809977483782265,0.012344264065887619,1.165142486889942
0.4,1.0,2.2,1.0809020209170976,0.011240823073461446,1.1514452745789232
0.4,1.0,2.3,1.0791362027755556,0.010019022271263792,1.141661959352177
0.4,1.0,2.4,1.0918274943230324,0.008876609367979118,1.1490652498012464
0.4,1.0,2.5,1.1216010412986048,0.008416624674761241,1.1757591751216105
0.4,1.0,2.6,1.1523187939123447,0.008631022722465647,1.2127034766117377
0.4,1.0,2.7,1.1705061271135522,0.00923655877422182,1.2404801534088032
0.4,1.0,2.8,1.1769266871587258,0.009753716175878599,1.241822586972947
0.4,1.0,2.9,1.1742468941866253,0.009248126579376258,1.2185668456860457
0.4,1.0,3.0,1.1603120512212695,0.008412026007419757,1.1869513556175573
0.4,1.0,3.2,1.1198960351944507,0.009432368991648222,1.127369628254118
0.4,1.0,3.3,1.106859930525757,0.011377493582547598,1.1042029073874797
0.4,1.0,3.4,1.0921276893084684,0.012110748666906593,1.0971972884335357
0.4,1.0,3.5,1.073540062936781,0.011738951210193742,1.1043486734976036
0.4,1.0,3.6,1.0577894923251028,0.012627791232150808,1.112728122889057
0.5,1.0,0.0,1.0593488038960082,0.013827958704812512,1.206333519046513
0.5,1.0,0.1,1.0348449685737475,0.014190228823077874,1.2428015047852232
0.5,1.0,0.2,1.028477570099203,0.015471296648280237,1.2320209381526064
0.5,1.0,0.3,1.0359181870098315,0.016469859855301517,1.1928296863748329
0.5,1.0,0.4,1.0569233773263527,0.016945489473345083,1.1435794743703833
0.5,1.0,0.5,1.0837255926460756,0.01699335353286193,1.0993543439574864
0.5,1.0,0.6,1.1017940536128026,0.016354973893399516,1.0756251756197412
0.5,1.0,0.7,1.1076891031502292,0.014685350143933615,1.0810350594226885
0.5,1.0,0.8,1.1119335165137165,0.012440322500107223,1.1130442409892989
0.5,1.0,0.9,1.1208243738462027,0.010857843695946525,1.163752658415221
0.5,1.0,1.0,1.1297258661547869,0.011164880730934721,1.2211701941423168
0.5,1.0,1.1,1.1360373357737936,0.012354302407032586,1.2665184880221185
0.5,1.0,1.2,1.1421503135208264,0.013053946217429113,1.284854051608352
0.5,1.0,1.3,1.142480525776842,0.01260404092920894,1.2791783168019937
0.5,1.0,1.4,1.1247957786295222,0.011411281805467664,1.2609987807374143
0.5,1.0,1.5,1.0899466200840615,0.01095816384275403,1.2300812534330217
0.5,1.0,1.6,1.0559051138944313,0.012182740744325876,1.1817711888492102
0.5,1.0,1.7,1.037706908421711,0.014625076396943278,1.1323402127703182
0.5,1.0,1.8,1.0358173457130904,0.01686342019951211,1.1131828445715823
0.5,1.0,1.9,1.0451977358882676,0.01699531377222083,1.1331479999699978
0.5,1.0,2.0,1.0605506881018292,0.015313752928329583,1.165198832567552
